Year,Ent_Key,Entity,Type of crime,Sex,Age range,January,February,March,April,May,June,July,August,September,October,November,December
2022,6,Colima,Other crimes that threaten life and bodily integrity,Unidentified,Unidentified,0,0,0,0,0,0,0,0,0,0,0,0
2022,6,Colima,Other crimes that threaten personal freedom,Unidentified,Unidentified,2,3,7,11,14,10,4,2,6,3,10,6
2023,6,Colima,Homicide,Women,Minors (0-17),0,0,0,1,0,0,0,0,0,,,
2023,6,Colima,Homicide,Women,Minors (0-17),0,0,0,0,0,0,0,0,0,,,
2023,6,Colima,Homicide,Women,Minors (0-17),0,0,0,0,0,0,0,0,0,,,
2023,6,Colima,Other crimes that threaten life and bodily integrity,Women,Minors (0-17),0,0,0,0,0,0,0,0,0,,,
2023,6,Colima,Other crimes that threaten personal freedom,Women,Minors (0-17),8,7,13,11,12,9,10,12,6,,,
2023,6,Colima,Homicide,Women,Adults (18 and over),9,2,4,7,4,6,4,1,0,,,
2023,6,Colima,Homicide,Women,Adults (18 and over),0,0,0,0,0,0,1,0,0,,,
2023,6,Colima,Homicide,Women,Adults (18 and over),0,0,0,0,1,0,0,0,0,,,
2023,6,Colima,Other crimes that threaten life and bodily integrity,Women,Adults (18 and over),0,0,0,0,0,0,0,0,0,,,
2023,6,Colima,Other crimes that threaten personal freedom,Women,Adults (18 and over),0,0,2,3,0,1,1,0,0,,,
2023,6,Colima,Homicide,Women,not specified,3,0,4,5,5,1,3,6,13,,,
2023,6,Colima,Homicide,Women,not specified,0,0,0,0,0,0,1,0,0,,,
2023,6,Colima,Homicide,Women,not specified,0,1,0,0,1,1,0,2,1,,,
2023,6,Colima,Other crimes that threaten life and bodily integrity,Women,not specified,0,0,0,0,0,0,0,0,0,,,
2023,6,Colima,Other crimes that threaten personal freedom,Women,not specified,0,1,2,2,1,5,0,1,4,,,
2023,6,Colima,Homicide,Man,Minors (0-17),2,0,1,0,0,0,2,0,2,,,
2023,6,Colima,Homicide,Man,Minors (0-17),0,0,0,0,0,0,0,0,0,,,
2023,6,Colima,Homicide,Man,Minors (0-17),0,2,0,0,0,1,0,0,0,,,
2023,6,Colima,Other crimes that threaten life and bodily integrity,Man,Minors (0-17),0,0,0,0,0,0,0,0,0,,,
2023,6,Colima,Other crimes that threaten personal freedom,Man,Minors (0-17),5,3,6,6,5,13,8,6,9,,,
2023,6,Colima,Homicide,Man,Adults (18 and over),28,17,40,27,34,27,20,9,65,,,
2023,6,Colima,Homicide,Man,Adults (18 and over),1,0,1,0,0,0,0,0,0,,,
2023,6,Colima,Homicide,Man,Adults (18 and over),4,2,1,2,4,1,0,0,0,,,
2023,6,Colima,Other crimes that threaten life and bodily integrity,Man,Adults (18 and over),0,0,0,0,0,0,0,0,0,,,
2023,6,Colima,Other crimes that threaten personal freedom,Man,Adults (18 and over),0,2,1,3,2,4,3,0,0,,,
2023,6,Colima,Homicide,Man,not specified,17,13,25,21,25,18,39,55,0,,,
2023,6,Colima,Homicide,Man,not specified,0,1,0,1,5,0,2,0,3,,,
2023,6,Colima,Homicide,Man,not specified,4,4,5,8,9,4,7,4,4,,,
2023,6,Colima,Other crimes that threaten life and bodily integrity,Man,not specified,0,0,0,0,0,0,0,0,0,,,
2023,6,Colima,Other crimes that threaten personal freedom,Man,not specified,0,0,4,2,1,3,3,1,5,,,
2023,6,Colima,Homicide,Unidentified,Unidentified,1,1,0,2,1,0,0,1,1,,,
2023,6,Colima,Homicide,Unidentified,Unidentified,0,0,0,0,0,0,0,0,0,,,
2023,6,Colima,Homicide,Unidentified,Unidentified,0,1,0,0,2,1,3,0,0,,,
2023,6,Colima,Other crimes that threaten life and bodily integrity,Unidentified,Unidentified,0,0,0,0,0,0,0,0,0,,,
2023,6,Colima,Other crimes that threaten personal freedom,Unidentified,Unidentified,11,5,8,6,6,1,7,8,8,,,
